rank,symbol,market_type,last_close,atr_5,atr_5_pct,atr_10,atr_10_pct,atr_20,atr_20_pct,atr_40,atr_40_pct,vi_days_in_window,atr_5_20_ratio,atr_10_40_ratio,atr_contraction_score,vol_percentile,vol_percentile_score,poc_price,poc_distance_pct,poc_distance_score,high_52w,breakout_proximity_pct,breakout_prox_score,rs_3m,rs_6m,rs_score,price_score,shares_out,med_value_20d,avg_value_20d,adv_shares_20d,turnover_20d,liquidity_score,days_with_data,foreign_net_20d,foreign_net_5d,pension_net_20d,pension_net_5d,fininvest_net_20d,fininvest_net_5d,invtrust_net_20d,invtrust_net_5d,privequity_net_20d,insurance_net_20d,bank_net_20d,inst_total_net_20d,flow_foreign_norm,flow_pension_norm,flow_fininvest_norm,flow_invtrust_norm,flow_inst_weighted_norm,flow_foreign_score,flow_pension_score,flow_fininvest_score,flow_invtrust_score,flow_privequity_score,flow_ignition_5d,flows_score,foreign_flow_ratio_5d,credit_level,credit_delta_5d,credit_delta_20d,credit_zscore,leverage_score,composite_score,name,flow_spike_flag,score_detail_price_atr_contraction,score_detail_price_vol_percentile,score_detail_price_breakout_prox,score_detail_price_poc_distance,score_detail_price_rs,score_detail_flows_foreign,score_detail_flows_pension,score_detail_flows_fininvest,score_detail_flows_invtrust,score_detail_leverage,score_detail_liquidity
1,322000,KOSPI,244000.0,25140.535015268266,10.303497957077159,22169.813265038225,9.085989043048452,19466.07306254437,7.977898796124741,15632.182458626197,6.406632155174671,8,1.291505222162266,1.4182161271284557,0.0,97.17741935483872,0.028225806451612767,109692.66649999999,122.43966509830446,0.0,256000.0,4.6875,0.84375,0.8477470275709951,1.0447302625455972,0.9674217013063485,0.31473612174353804,,142017510900.0,207658503665.0,1034687.75,,1.0,12,336959.0,213659.0,-18159.0,-10160.0,67178.0,12163.0,30671.0,10438.0,24944.0,1191.0,0.0,106104.0,0.32566250059498625,-0.01755022227720392,0.06492586773159342,0.02964275937354047,0.018508791662025573,0.5647665731932884,0.4964900132036814,0.5129822550116118,0.5059282740568318,0.5048214017905756,0.5272878630608616,0.5285148246890828,0.20649611440746254,2.64,,,0.2221,0.5657794542897889,0.564268,HD현대에너지솔루션,0,0.0,0.0021,0.0633,0.0,0.029,0.0791,0.0434,0.0359,0.0266,0.0849,0.2
2,403870,KOSDAQ,54700.0,4222.877951122341,7.7200693804795995,3803.388609084839,6.953178444396416,3543.748189020135,6.4785158848631355,3231.6116697371963,5.907882394400724,4,1.191641653378873,1.1769324404606267,0.0,91.93548387096774,0.08064516129032251,43366.667,26.13374230489052,0.0,59300.0,7.75716694772344,0.7414277684092186,0.08252189445930846,0.2386741071978964,0.5817806857261185,0.26369630099749714,,113452261700.0,158711910535.0,3098874.4,,1.0,12,254252.0,144913.0,-85550.0,-12931.0,982966.0,615915.0,-9923.0,-44016.0,-118586.0,-32672.0,1819.0,737137.0,0.08204656503664685,-0.027606798132896255,0.317200981104623,-0.003202130425163408,0.06445028233477292,0.5164034242606718,0.4944788647903728,0.5631019407349118,0.499359574265191,0.4923471090560567,0.5283621290673766,0.5177054101886229,0.04676310856612969,2.78,,,0.2998,0.5858022632912151,0.548176,HPSP,0,0.0,0.006,0.0556,0.0,0.0175,0.0723,0.0433,0.0394,0.0262,0.0879,0.2
3,047040,KOSPI,32600.0,3197.065645540387,9.806949832945971,3250.183478154745,9.969887969799831,2923.4204895461016,8.967547513945098,2234.6931013883,6.85488681407454,8,1.0936044462207255,1.4544205090782143,0.0,98.38709677419355,0.016129032258064502,17525.3335,86.01643158459723,0.0,40350.0,19.206939281288722,0.3597686906237093,2.7656790292529223,3.794752228230876,0.9999843138406314,0.1939728621045066,,741950093300.0,974747498170.0,30332694.5,,1.0,12,3058452.0,829151.0,-1121240.0,-346383.0,2700362.0,1578283.0,-436270.0,-158108.0,-425140.0,-124006.0,-2435.0,589459.0,0.10083021144066183,-0.03696473453751364,0.08902479797830028,-0.014382830381257426,0.00475180436080283,0.5201551148522062,0.4926075918006171,0.5177974374543887,0.49712346566003074,0.49719684945347753,0.5078413202921661,0.5093419512309191,0.027335224043482192,0.76,,,-0.8216,0.6702160191277807,0.536994,대우건설,0,0.0,0.0012,0.027,0.0,0.03,0.0728,0.0431,0.0362,0.0261,0.1005,0.2
4,009830,KOSPI,47800.0,3808.710914361836,7.968014465192125,3714.482253413457,7.77088337534196,3673.381680246328,7.6848989126492215,3365.6744207082106,7.041159875958599,5,1.0368405044439686,1.1036368314650737,0.0,87.09677419354838,0.12903225806451613,40847.6665,17.020148507136877,0.35784902162833365,59300.0,19.392917369308602,0.35356942102304656,-0.2743229579735912,-0.12630167286013494,0.2502476673676043,0.18146008867148447,,160501710600.0,211552740820.0,4439000.85,,1.0,12,2019197.0,1333262.0,136716.0,-169362.0,-453313.0,84355.0,-75396.0,-228478.0,-634350.0,23909.0,-11180.0,-1012679.0,0.454876461670423,0.030798822667492846,-0.10212050308573382,-0.016984903258128462,-0.03213642547511565,0.5899844680276893,0.5061594529282926,0.4795872515244176,0.49660307161325196,0.47145033202968367,0.5286848678903541,0.5329415614900201,0.30035182354155215,2.25,,,0.0056,0.5874444863572447,0.529084,한화솔루션,0,0.0,0.0097,0.0265,0.0107,0.0075,0.0826,0.0443,0.0336,0.0261,0.0881,0.2
5,327260,KOSDAQ,110400.0,14196.90577850808,12.859516103721088,13445.71508011319,12.17908974647934,12060.365958405651,10.924244527541351,9624.092786068695,8.717475349699905,10,1.1771538133644557,1.3970890949406125,0.0,98.79032258064517,0.012096774193548376,25071.95,340.33272242486123,0.0,126600.0,12.796208530805686,0.5734597156398105,1.7351436635448239,3.2068709656286716,0.9990332222269102,0.24629244468103073,,37208181765.0,40587794230.1,402647.8,,0.7853192240362885,12,295693.0,27871.0,9980.0,-3550.0,-8975.0,378.0,14412.0,-12394.0,-20499.0,-696.0,-51.0,-5833.0,0.7343713289877655,0.024785929539413852,-0.022289951664953837,0.0357930677877788,0.005045352290512948,0.6427906499177253,0.5049570234924549,0.4955421277921378,0.5071581244663154,0.48981930768244086,0.5038199515152287,0.5585376600685787,0.06921930282495024,0.77,,,-0.8161,0.6773605054850255,0.528044,RF머트리얼즈,0,0.0,0.0009,0.043,0.0,0.03,0.09,0.0442,0.0347,0.0266,0.1016,0.1571
6,093370,KOSPI,13620.0,1151.8004311946843,8.456684516847902,1071.2702839025337,7.865420586655901,944.5015152648322,6.9346660445288695,767.985941672462,5.638663301559927,5,1.219479707104257,1.3949087161278004,0.0,98.79032258064517,0.012096774193548376,13445.5335,1.2975796014341896,0.939075925299039,15420.0,11.673151750972762,0.6108949416342413,0.0882758547015734,-0.22009107767466363,0.5873699470451236,0.3083925161913637,,37510897685.0,63928682536.0,4773387.05,,0.7870787287559402,12,1286211.0,26587.0,117643.0,6450.0,209648.0,369724.0,-372410.0,18893.0,-292835.0,36987.0,0.0,-301228.0,0.269454579426992,0.02464560253918651,0.04392017613572736,-0.07801797677395551,-0.0015899318283858852,0.5536831988338359,0.5049289608353237,0.5087831316456454,0.48440146806140527,0.48773297731169196,0.5110399980195497,0.5221223662807052,0.00556983955449412,1.93,,,-0.1721,0.6052209229254135,0.523459,후성,0,0.0,0.0009,0.0458,0.0282,0.0176,0.0775,0.0442,0.0356,0.0254,0.0908,0.1574
7,033160,KOSDAQ,29650.0,3166.6375228700867,10.680059099055942,2888.0714046505277,9.7405443664436,2524.4439382673067,8.514144817090411,1947.8431164644,6.5694540184296795,8,1.2543901153311252,1.48270226705566,0.0,98.79032258064517,0.012096774193548376,16872.8665,75.72592066676992,0.0,31300.0,5.271565495207668,0.8242811501597445,1.7011833361369484,1.4760015596423601,0.9988927117229908,0.3089837522606223,,25513355900.0,30786151590.0,1145126.25,,0.7033837936521081,12,1151683.0,609680.0,-165177.0,-58188.0,34128.0,-57151.0,-134917.0,-93248.0,239264.0,-21915.0,0.0,-116055.0,1.0057257878771009,-0.1442434840699879,0.02980282741750091,-0.11781845014905562,-0.04704372116174962,0.690953468735722,0.47118327294955625,0.5059602831408802,0.47645373939238117,0.5416912045789832,0.5436710564468922,0.5668373232687111,0.5324129108035031,2.23,,,-0.0056,0.6108555136427553,0.523393,엠케이전자,0,0.0,0.0009,0.0618,0.0,0.03,0.0967,0.0412,0.0354,0.025,0.0916,0.1407
8,082920,KOSDAQ,60300.0,6281.988084277563,10.417890687027468,5599.739950092906,9.286467578926876,4775.568046265523,7.919681668765377,3674.526399059585,6.093741955322695,8,1.315443110310208,1.5239351529835348,0.0,98.79032258064517,0.012096774193548376,29296.5065,105.82658891427891,0.0,67800.0,11.061946902654867,0.6312684365781711,1.7915791332274793,2.4455302088798145,0.9992284340420445,0.26076414609713433,,36524797950.0,46312528445.0,817564.05,,0.7812939110787624,12,616885.0,208391.0,-50991.0,-12696.0,-108559.0,-88744.0,-747648.0,-41868.0,180013.0,-45331.0,648.0,-776223.0,0.7545402711873155,-0.06236942536795741,-0.13278348038909,-0.9144824799965213,-0.21976092270691205,0.6464868598998901,0.4875287021612149,0.47346824820869365,0.32484679068068045,0.5439229186619928,0.5099494359025936,0.5238975877441006,0.2548925677443865,0.89,,,-0.7494,0.6718943417719623,0.518636,비츠로셀,0,0.0,0.0009,0.0473,0.0,0.03,0.0905,0.0427,0.0331,0.0171,0.1008,0.1563
9,006340,KOSPI,15590.0,2372.9358625698696,15.220884301282037,1927.2022243523859,12.361784633434162,1407.5299173288952,9.028415120775467,972.0583325134729,6.235140041779814,14,1.6858866254672935,1.9825993563258453,0.0,98.79032258064517,0.012096774193548376,6154.225,153.3219048702314,0.0,20300.0,23.201970443349754,0.22660098522167482,1.7922924026729583,1.0218047078930512,0.9992306305511988,0.1595975029089257,,269000906240.0,435656100049.0,37972182.5,,1.0,12,473969.0,463372.0,-53554.0,-39771.0,1263758.0,45505.0,-1458.0,-4732.0,-327336.0,-314.0,0.0,875596.0,0.012482005741966505,-0.0014103482200423956,0.03328115259111061,-3.839652882738568e-05,0.006956366545430988,0.5024963804051086,0.4997179303859147,0.5066558373367782,0.4999923206942351,0.498275923683445,0.5015286603328941,0.502258050330013,0.012202933028671712,1.7,,,-0.2998,0.6179977367087848,0.516369,대원전선,0,0.0,0.0009,0.017,0.0,0.03,0.0703,0.0437,0.0355,0.0262,0.0927,0.2
10,069540,KOSDAQ,5770.0,821.7449147091061,14.241679631007036,865.4537942191356,14.999199206570808,804.3754050959678,13.940648268560969,617.6296955972462,10.704154169796293,13,1.0215937850698777,1.4012502967206657,0.0,95.16129032258065,0.048387096774193505,1645.9915,250.54859031775072,0.0,8100.0,28.76543209876543,0.04115226337448563,3.239333257262434,4.3782533705843765,0.9999976411477405,0.12238460415194384,,66243235260.0,119387413381.5,21536617.05,,0.9105707674232404,12,53408.0,240512.0,0.0,0.0,335.0,335.0,0.0,0.0,82646.0,0.0,0.0,82981.0,0.0024798695113539197,0.0,1.5554903503287208e-05,0.0,0.0003876351601840829,0.500495973739598,0.5,0.5000031109807006,0.5,0.500767492265833,0.5013978888369683,0.5001990116919793,0.011167584929500336,0.0,,,-1.2435,0.7124350559771817,0.500764,빛과전자,0,0.0,0.0036,0.0031,0.0,0.03,0.0701,0.0438,0.035,0.0262,0.1069,0.1821
