rank,symbol,name,market_type,last_close,composite_score,price_score,liquidity_score,flows_score,leverage_score,flow_spike_flag,vi_days_in_window,score_detail_flows_fininvest,score_detail_flows_foreign,score_detail_flows_invtrust,score_detail_flows_pension,score_detail_leverage,score_detail_liquidity,score_detail_price_atr_contraction,score_detail_price_breakout_prox,score_detail_price_poc_distance,score_detail_price_rs,score_detail_price_vol_percentile,atr_5_20_ratio,atr_10_40_ratio,vol_percentile,poc_distance_pct,breakout_proximity_pct,rs_3m,rs_6m,med_value_20d,adv_shares_20d,credit_level,credit_delta_5d,credit_zscore,foreign_flow_ratio_5d,flow_foreign_norm,flow_pension_norm,flow_fininvest_norm,flow_invtrust_norm,flow_inst_weighted_norm,flow_ignition_5d,days_with_data
1,322000,HD현대에너지솔루션,KOSPI,244000.0,0.5643,0.3147,1.0,0.5285,0.5658,0,8,0.0359,0.0791,0.0266,0.0434,0.0849,0.2,0.0,0.0633,0.0,0.029,0.0021,1.292,1.418,97.2,122.4,4.7,0.848,1.045,142017510900.0,1034688.0,2.64,,0.22,0.206,0.326,-0.018,0.065,0.03,0.019,0.527,12
2,403870,HPSP,KOSDAQ,54700.0,0.5482,0.2637,1.0,0.5177,0.5858,0,4,0.0394,0.0723,0.0262,0.0433,0.0879,0.2,0.0,0.0556,0.0,0.0175,0.006,1.192,1.177,91.9,26.1,7.8,0.083,0.239,113452261700.0,3098874.0,2.78,,0.3,0.047,0.082,-0.028,0.317,-0.003,0.064,0.528,12
3,047040,대우건설,KOSPI,32600.0,0.537,0.194,1.0,0.5093,0.6702,0,8,0.0362,0.0728,0.0261,0.0431,0.1005,0.2,0.0,0.027,0.0,0.03,0.0012,1.094,1.454,98.4,86.0,19.2,2.766,3.795,741950093300.0,30332694.0,0.76,,-0.82,0.027,0.101,-0.037,0.089,-0.014,0.005,0.508,12
4,009830,한화솔루션,KOSPI,47800.0,0.5291,0.1815,1.0,0.5329,0.5874,0,5,0.0336,0.0826,0.0261,0.0443,0.0881,0.2,0.0,0.0265,0.0107,0.0075,0.0097,1.037,1.104,87.1,17.0,19.4,-0.274,-0.126,160501710600.0,4439001.0,2.25,,0.01,0.3,0.455,0.031,-0.102,-0.017,-0.032,0.529,12
5,327260,RF머트리얼즈,KOSDAQ,110400.0,0.528,0.2463,0.7853,0.5585,0.6774,0,10,0.0347,0.09,0.0266,0.0442,0.1016,0.1571,0.0,0.043,0.0,0.03,0.0009,1.177,1.397,98.8,340.3,12.8,1.735,3.207,37208181765.0,402648.0,0.77,,-0.82,0.069,0.734,0.025,-0.022,0.036,0.005,0.504,12
6,093370,후성,KOSPI,13620.0,0.5235,0.3084,0.7871,0.5221,0.6052,0,5,0.0356,0.0775,0.0254,0.0442,0.0908,0.1574,0.0,0.0458,0.0282,0.0176,0.0009,1.219,1.395,98.8,1.3,11.7,0.088,-0.22,37510897685.0,4773387.0,1.93,,-0.17,0.006,0.269,0.025,0.044,-0.078,-0.002,0.511,12
7,033160,엠케이전자,KOSDAQ,29650.0,0.5234,0.309,0.7034,0.5668,0.6109,0,8,0.0354,0.0967,0.025,0.0412,0.0916,0.1407,0.0,0.0618,0.0,0.03,0.0009,1.254,1.483,98.8,75.7,5.3,1.701,1.476,25513355900.0,1145126.0,2.23,,-0.01,0.532,1.006,-0.144,0.03,-0.118,-0.047,0.544,12
8,082920,비츠로셀,KOSDAQ,60300.0,0.5186,0.2608,0.7813,0.5239,0.6719,0,8,0.0331,0.0905,0.0171,0.0427,0.1008,0.1563,0.0,0.0473,0.0,0.03,0.0009,1.315,1.524,98.8,105.8,11.1,1.792,2.446,36524797950.0,817564.0,0.89,,-0.75,0.255,0.755,-0.062,-0.133,-0.914,-0.22,0.51,12
9,006340,대원전선,KOSPI,15590.0,0.5164,0.1596,1.0,0.5023,0.618,0,14,0.0355,0.0703,0.0262,0.0437,0.0927,0.2,0.0,0.017,0.0,0.03,0.0009,1.686,1.983,98.8,153.3,23.2,1.792,1.022,269000906240.0,37972182.0,1.7,,-0.3,0.012,0.012,-0.001,0.033,-0.0,0.007,0.502,12
10,069540,빛과전자,KOSDAQ,5770.0,0.5008,0.1224,0.9106,0.5002,0.7124,0,13,0.035,0.0701,0.0262,0.0438,0.1069,0.1821,0.0,0.0031,0.0,0.03,0.0036,1.022,1.401,95.2,250.5,28.8,3.239,4.378,66243235260.0,21536617.0,0.0,,-1.24,0.011,0.002,0.0,0.0,0.0,0.0,0.501,12
11,271560,오리온,KOSPI,143200.0,0.499,0.2789,0.5601,0.565,0.7035,0,0,0.0322,0.0901,0.0232,0.0523,0.1055,0.112,0.0,0.0635,0.0,0.0078,0.0124,1.067,1.076,83.5,39.0,4.6,-0.264,-0.29,13191222600.0,104452.0,0.16,,-1.15,0.235,0.737,0.496,-0.203,-0.291,0.02,0.54,12
12,037460,삼지전자,KOSDAQ,38200.0,0.4804,0.3327,0.4269,0.5647,0.6505,0,4,0.0354,0.0944,0.0262,0.0416,0.0976,0.0854,0.0,0.0711,0.0,0.0278,0.0009,1.195,1.287,98.8,124.2,1.5,0.631,1.4,7141793375.0,227082.0,1.36,,-0.49,0.607,0.91,-0.121,0.026,-0.003,-0.047,0.563,12
13,355150,코스텍시스,KOSDAQ,55500.0,0.48,0.2412,0.5966,0.5393,0.6637,0,17,0.0359,0.0853,0.0249,0.0426,0.0996,0.1193,0.0,0.0415,0.0,0.03,0.0009,1.47,1.76,98.8,170.8,13.4,2.821,2.351,15604330100.0,587579.0,1.07,,-0.65,0.17,0.557,-0.068,0.066,-0.125,-0.06,0.519,12
14,077360,덕산하이메탈,KOSDAQ,18400.0,0.4793,0.2319,0.7361,0.5063,0.5689,0,9,0.0345,0.0732,0.0253,0.0442,0.0853,0.1472,0.0,0.043,0.0,0.0257,0.0009,1.264,1.361,98.8,128.2,12.8,0.444,0.932,29658744305.0,2802187.0,3.15,,0.51,0.198,0.114,0.028,-0.037,-0.09,-0.024,0.508,12
15,230240,에치에프알,KOSDAQ,32800.0,0.47,0.247,0.6341,0.5136,0.5954,0,5,0.0349,0.071,0.0265,0.0473,0.0893,0.1268,0.0,0.0315,0.0123,0.029,0.0012,1.155,1.302,98.4,16.5,17.4,0.846,0.516,18546591525.0,689992.0,2.57,,0.18,0.088,0.036,0.205,-0.007,0.026,0.055,0.511,12
16,425040,티이엠씨,KOSDAQ,24050.0,0.469,0.2974,0.7567,0.4972,0.3626,0,6,0.0349,0.0692,0.0262,0.0436,0.0544,0.1513,0.0,0.0585,0.0,0.0298,0.0009,1.463,1.652,98.8,78.0,6.6,1.292,1.063,32606703400.0,3105828.0,7.68,,3.02,0.011,-0.029,-0.006,-0.004,0.0,-0.004,0.501,12
17,007340,DN오토모티브,KOSPI,48300.0,0.4684,0.2341,0.5494,0.5463,0.6474,0,5,0.0238,0.0964,0.0264,0.0447,0.0971,0.1099,0.0,0.0478,0.0017,0.0199,0.0009,1.177,1.338,98.8,19.6,10.9,0.169,0.015,12553219750.0,316211.0,1.17,,-0.59,0.652,0.992,0.052,-0.831,0.011,-0.152,0.514,12
18,456040,OCI,KOSPI,138000.0,0.467,0.1923,0.602,0.5763,0.5813,0,3,0.0348,0.0889,0.0281,0.0499,0.0872,0.1204,0.0,0.0364,0.0,0.0201,0.0012,1.163,1.359,98.4,-6.3,15.4,0.176,0.168,15992541000.0,223217.0,2.36,,0.07,0.283,0.694,0.355,-0.017,0.173,0.152,0.548,12
19,138360,앤로보틱스,KOSDAQ,3915.0,0.4475,0.2402,0.4587,0.5057,0.7115,0,11,0.035,0.072,0.0262,0.0438,0.1067,0.0917,0.0,0.0382,0.0129,0.02,0.0009,1.225,1.332,98.8,16.3,14.7,0.172,2.226,8268796572.0,5504977.0,0.02,,-1.23,0.04,0.07,0.0,0.002,-0.0,0.0,0.505,12
20,160980,싸이맥스,KOSDAQ,36650.0,0.4361,0.254,0.3909,0.5628,0.5653,0,2,0.045,0.0798,0.0267,0.0455,0.0848,0.0782,0.0,0.046,0.0,0.0292,0.0009,1.248,1.366,98.8,102.5,11.6,0.909,0.462,6052012000.0,247872.0,3.23,,0.55,0.042,0.351,0.1,0.737,0.041,0.299,0.542,12
